elapsed_s,pcb_current_uA,meter_current_uA
0.018,0.000000,-0.008779
0.558,1.792740,1.806509
1.082,1.792780,1.806535
1.608,1.792810,1.806553
2.126,1.792700,1.806560
2.649,1.792790,1.806556
3.178,1.792730,1.806557
3.706,1.792740,1.806512
4.229,1.792700,1.806588
4.752,1.792700,1.806566
5.270,1.792760,1.806566
5.845,1.792710,1.806528
6.364,1.792760,1.806589
